CustomerNo,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
12790.0,193,20,1983.08,1,2,2,122,5,Churned
12791.0,374,1,1166.4,1,1,1,111,3,Churned
12792.0,257,24,2556.83,1,2,2,122,5,Churned
12793.0,335,22,2665.64,1,2,2,122,5,Churned
12794.0,54,45,6768.41,3,2,3,323,8,Potential
12795.0,19,13,982.32,4,1,1,411,6,At Risk
12796.0,151,62,5650.0199999999995,2,3,3,233,8,Potential
12797.0,366,12,1430.82,1,1,1,111,3,Churned
12798.0,11,8,52015.439999999995,4,1,4,414,9,Potential
12802.0,187,24,3605.02,1,2,2,122,5,Churned
12803.0,179,71,6598.74,1,3,3,133,7,At Risk
12808.0,37,27,2018.71,3,2,2,322,7,At Risk
12809.0,159,67,3695.33,1,3,2,132,6,At Risk
12810.0,179,1,11.98,1,1,1,111,3,Churned
12811.0,262,28,2432.81,1,2,2,122,5,Churned
12812.0,45,15,1916.0,3,1,2,312,6,At Risk
12814.0,102,1,579.84,2,1,1,211,4,Churned
12815.0,148,43,4571.33,2,2,2,222,6,At Risk
12816.0,96,26,1695.5,2,2,1,221,5,Churned
12817.0,102,206,6707.54,2,4,3,243,9,Potential
12818.0,262,13,10641.32,1,1,3,113,5,Churned
12820.0,4,226,12348.48,4,4,4,444,12,Loyal
12821.0,215,6,812.56,1,1,1,111,3,Churned
12822.0,71,46,6060.9800000000005,2,2,3,223,7,At Risk
12823.0,75,5,4160.7,2,1,2,212,5,Churned
12824.0,60,49,3327.29,2,2,2,222,6,At Risk
12826.0,3,88,10393.34,4,3,3,433,10,Loyal
12827.0,6,25,2154.89,4,2,2,422,8,Potential
12828.0,3,56,4974.54,4,3,3,433,10,Loyal
12829.0,24,14,4609.83,3,1,2,312,6,At Risk
12830.0,38,199,112345.34,3,4,4,344,11,Loyal
12831.0,263,9,1603.85,1,1,1,111,3,Churned
12832.0,33,29,2429.99,3,2,2,322,7,At Risk
12833.0,146,24,2026.6,2,2,2,222,6,At Risk
12834.0,283,18,1447.5,1,1,1,111,3,Churned
12836.0,60,175,13164.77,2,4,4,244,10,Loyal
12837.0,159,47,1576.44,1,2,1,121,4,Churned
12838.0,34,123,4379.48,3,3,2,332,8,Potential
12839.0,3,314,39680.04,4,4,4,444,12,Loyal
12840.0,144,113,14072.849999999999,2,3,4,234,9,Potential
12841.0,5,608,36652.08,4,4,4,444,12,Loyal
